"domain","subcategory","answer","pct"
"ALL","ALL","Preventing crime by strengthening communities",56
"ALL","ALL","Responding to crime by punishing people who commit crimes",44
"age","18-34","Preventing crime by strengthening communities",59
"age","18-34","Responding to crime by punishing people who commit crimes",41
"age","35-44","Preventing crime by strengthening communities",53
"age","35-44","Responding to crime by punishing people who commit crimes",47
"age","45-54","Preventing crime by strengthening communities",53
"age","45-54","Responding to crime by punishing people who commit crimes",47
"age","55+","Preventing crime by strengthening communities",64
"age","55+","Responding to crime by punishing people who commit crimes",36
"agency","Corrections/Supervision","Preventing crime by strengthening communities",61
"agency","Corrections/Supervision","Responding to crime by punishing people who commit crimes",39
"agency","Federal","Preventing crime by strengthening communities",61
"agency","Federal","Responding to crime by punishing people who commit crimes",39
"agency","Local","Preventing crime by strengthening communities",56
"agency","Local","Responding to crime by punishing people who commit crimes",44
"agency","Other","Preventing crime by strengthening communities",53
"agency","Other","Responding to crime by punishing people who commit crimes",47
"agency","Sheriff","Preventing crime by strengthening communities",57
"agency","Sheriff","Responding to crime by punishing people who commit crimes",43
"agency","State","Preventing crime by strengthening communities",31
"agency","State","Responding to crime by punishing people who commit crimes",69
"gender","Men","Preventing crime by strengthening communities",58
"gender","Men","Responding to crime by punishing people who commit crimes",42
"gender","Women","Preventing crime by strengthening communities",53
"gender","Women","Responding to crime by punishing people who commit crimes",47
"proximity","City or metro area","Preventing crime by strengthening communities",58
"proximity","City or metro area","Responding to crime by punishing people who commit crimes",42
"proximity","Neighborhood","Preventing crime by strengthening communities",53
"proximity","Neighborhood","Responding to crime by punishing people who commit crimes",47
"proximity","Outside metro area","Preventing crime by strengthening communities",56
"proximity","Outside metro area","Responding to crime by punishing people who commit crimes",44
"race","Black or African American","Preventing crime by strengthening communities",72
"race","Black or African American","Responding to crime by punishing people who commit crimes",28
"race","Hispanic or Latino","Preventing crime by strengthening communities",52
"race","Hispanic or Latino","Responding to crime by punishing people who commit crimes",48
"race","Other","Preventing crime by strengthening communities",50
"race","Other","Responding to crime by punishing people who commit crimes",50
"race","White","Preventing crime by strengthening communities",50
"race","White","Responding to crime by punishing people who commit crimes",50
"role","Custodial Officers","Preventing crime by strengthening communities",65
"role","Custodial Officers","Responding to crime by punishing people who commit crimes",35
"role","Investigators/Detectives","Preventing crime by strengthening communities",50
"role","Investigators/Detectives","Responding to crime by punishing people who commit crimes",50
"role","Other","Preventing crime by strengthening communities",57
"role","Other","Responding to crime by punishing people who commit crimes",43
"role","Patrol or Field Officers","Preventing crime by strengthening communities",52
"role","Patrol or Field Officers","Responding to crime by punishing people who commit crimes",48
"role","Probation Officers","Preventing crime by strengthening communities",59
"role","Probation Officers","Responding to crime by punishing people who commit crimes",41
"role","Supervisors","Preventing crime by strengthening communities",55
"role","Supervisors","Responding to crime by punishing people who commit crimes",45
